Date_raw,Account,Category_raw,Subcategory,Note,INR,Income/Expense,Note.1,amount_raw,Currency,Account.1,Date,amount,Category,year,month,day_of_week,year_month,transaction_type,abs_amount
2/7/2022 7:08,CUB - online payment,Transportation,,Auto to Gobi's place,214.0,Expense,,214.0,INR,214.0,2022-07-02 07:08:00,-214.0,Transportation,2022,7,Saturday,2022-07,expense,214.0
2/6/2022 18:32,CUB - online payment,Food,,Cakepark,125.0,Expense,,125.0,INR,125.0,2022-06-02 18:32:00,-125.0,Food,2022,6,Thursday,2022-06,expense,125.0
2/6/2022 17:53,CUB - online payment,Food,,To kumara,150.0,Expense,,150.0,INR,150.0,2022-06-02 17:53:00,-150.0,Food,2022,6,Thursday,2022-06,expense,150.0
2/6/2022 17:52,CUB - online payment,Transportation,,To chennai,1000.0,Expense,,1000.0,INR,1000.0,2022-06-02 17:52:00,-1000.0,Transportation,2022,6,Thursday,2022-06,expense,1000.0
2/6/2022 16:41,CUB - online payment,Other,,Salary from dad,5000.0,Income,,5000.0,INR,5000.0,2022-06-02 16:41:00,5000.0,Other,2022,6,Thursday,2022-06,income,5000.0
2/6/2022 16:40,CUB - online payment,Other,,To gobi,1500.0,Expense,,1500.0,INR,1500.0,2022-06-02 16:40:00,-1500.0,Other,2022,6,Thursday,2022-06,expense,1500.0
2/4/2022 20:28,CUB - online payment,Food,,Shawarma,80.0,Expense,,80.0,INR,80.0,2022-04-02 20:28:00,-80.0,Food,2022,4,Saturday,2022-04,expense,80.0
2/3/2022 14:53,CUB - online payment,Food,,Good soup,50.0,Expense,,50.0,INR,50.0,2022-03-02 14:53:00,-50.0,Food,2022,3,Wednesday,2022-03,expense,50.0
2/3/2022 8:59,CUB - online payment,Other,,To gowdham,150.0,Expense,,150.0,INR,150.0,2022-03-02 08:59:00,-150.0,Other,2022,3,Wednesday,2022-03,expense,150.0
2/2/2022 20:15,CUB - online payment,Food,,Parotta,120.0,Expense,,120.0,INR,120.0,2022-02-02 20:15:00,-120.0,Food,2022,2,Wednesday,2022-02,expense,120.0
2/2/2022 20:14,CUB - online payment,Other,,From dad,500.0,Income,,500.0,INR,500.0,2022-02-02 20:14:00,500.0,Other,2022,2,Wednesday,2022-02,income,500.0
1/12/2022 22:44,CUB - online payment,Other,,Recharge by gowdham,479.0,Expense,,479.0,INR,479.0,2022-12-01 22:44:00,-479.0,Other,2022,12,Thursday,2022-12,expense,479.0
1/12/2022 13:25,CUB - online payment,Food,,Pizza,301.75,Expense,,301.75,INR,301.75,2022-12-01 13:25:00,-301.75,Food,2022,12,Thursday,2022-12,expense,301.75
1/12/2022 13:25,CUB - online payment,Other,,From kumara,200.0,Income,,200.0,INR,200.0,2022-12-01 13:25:00,200.0,Other,2022,12,Thursday,2022-12,income,200.0
1/11/2022 14:07,CUB - online payment,Food,,Lunch with not preethi,135.5,Expense,,135.5,INR,135.5,2022-11-01 14:07:00,-135.5,Food,2022,11,Tuesday,2022-11,expense,135.5
1/10/2022 14:04,CUB - online payment,Food,,Friday snacks with preethi gang,106.0,Expense,,106.0,INR,106.0,2022-10-01 14:04:00,-106.0,Food,2022,10,Saturday,2022-10,expense,106.0
1/8/2022 13:46,CUB - online payment,Other,,From gowdham,260.0,Income,,260.0,INR,260.0,2022-08-01 13:46:00,260.0,Other,2022,8,Monday,2022-08,income,260.0
1/8/2022 13:45,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,,535.3,INR,535.3,2022-08-01 13:45:00,-535.3,Food,2022,8,Monday,2022-08,expense,535.3
1/8/2022 13:38,CUB - online payment,Household,,Rent,4580.0,Expense,,4580.0,INR,4580.0,2022-08-01 13:38:00,-4580.0,Household,2022,8,Monday,2022-08,expense,4580.0
1/7/2022 13:51,CUB - online payment,Food,,Coffee + biscuit,15.0,Expense,,15.0,INR,15.0,2022-07-01 13:51:00,-15.0,Food,2022,7,Friday,2022-07,expense,15.0
1/6/2022 21:30,CUB - online payment,Other,,From barath and shakur,440.0,Income,,440.0,INR,440.0,2022-06-01 21:30:00,440.0,Other,2022,6,Wednesday,2022-06,income,440.0
1/6/2022 20:58,CUB - online payment,Food,,Ketch up,20.0,Expense,,20.0,INR,20.0,2022-06-01 20:58:00,-20.0,Food,2022,6,Wednesday,2022-06,expense,20.0
1/6/2022 20:13,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,,877.81,INR,877.81,2022-06-01 20:13:00,-877.81,Food,2022,6,Wednesday,2022-06,expense,877.81
1/6/2022 14:22,CUB - online payment,Food,,Bingo,10.0,Expense,,10.0,INR,10.0,2022-06-01 14:22:00,-10.0,Food,2022,6,Wednesday,2022-06,expense,10.0
1/6/2022 11:48,CUB - online payment,Transportation,,Rapido to pg,42.0,Expense,,42.0,INR,42.0,2022-06-01 11:48:00,-42.0,Transportation,2022,6,Wednesday,2022-06,expense,42.0
1/5/2022 20:23,CUB - online payment,Food,,McDonald's with company,211.0,Expense,,211.0,INR,211.0,2022-05-01 20:23:00,-211.0,Food,2022,5,Sunday,2022-05,expense,211.0
1/5/2022 14:46,CUB - online payment,Other,,Lended money returned to vishnu,40.0,Expense,,40.0,INR,40.0,2022-05-01 14:46:00,-40.0,Other,2022,5,Sunday,2022-05,expense,40.0
1/5/2022 14:42,CUB - online payment,Other,,Lended money returned to kumara,30.0,Expense,,30.0,INR,30.0,2022-05-01 14:42:00,-30.0,Other,2022,5,Sunday,2022-05,expense,30.0
1/5/2022 14:42,CUB - online payment,Food,,Jan 2nd with shakur and barath,354.0,Expense,,354.0,INR,354.0,2022-05-01 14:42:00,-354.0,Food,2022,5,Sunday,2022-05,expense,354.0
1/5/2022 14:39,CUB - online payment,Other,,To gobi 1st 1/4th,500.0,Expense,,500.0,INR,500.0,2022-05-01 14:39:00,-500.0,Other,2022,5,Sunday,2022-05,expense,500.0
1/5/2022 14:37,CUB - online payment,Other,,To abijith and to vicky lend money returned,500.0,Expense,,500.0,INR,500.0,2022-05-01 14:37:00,-500.0,Other,2022,5,Sunday,2022-05,expense,500.0
1/5/2022 14:35,CUB - online payment,Transportation,,Refund for bus ticket,60.0,Expense,,60.0,INR,60.0,2022-05-01 14:35:00,-60.0,Transportation,2022,5,Sunday,2022-05,expense,60.0
1/5/2022 14:30,CUB - online payment,Food,,Lunch with company,388.0,Expense,,388.0,INR,388.0,2022-05-01 14:30:00,-388.0,Food,2022,5,Sunday,2022-05,expense,388.0
1/4/2022 22:11,CUB - online payment,Education,,Arrear and reval fee,1400.0,Expense,,1400.0,INR,1400.0,2022-04-01 22:11:00,-1400.0,Education,2022,4,Friday,2022-04,expense,1400.0
1/4/2022 22:10,CUB - online payment,Salary,,Salary,8000.0,Income,,8000.0,INR,8000.0,2022-04-01 22:10:00,8000.0,Salary,2022,4,Friday,2022-04,income,8000.0
1/4/2022 13:53,CUB - online payment,Food,,Lunch with company,106.0,Expense,,106.0,INR,106.0,2022-04-01 13:53:00,-106.0,Food,2022,4,Friday,2022-04,expense,106.0
1/4/2022 8:01,CUB - online payment,Other,,To vicky,80.0,Expense,,80.0,INR,80.0,2022-04-01 08:01:00,-80.0,Other,2022,4,Friday,2022-04,expense,80.0
1/4/2022 7:58,CUB - online payment,Food,,Sent to preethi,107.0,Expense,,107.0,INR,107.0,2022-04-01 07:58:00,-107.0,Food,2022,4,Friday,2022-04,expense,107.0
1/3/2022 22:15,CUB - online payment,Food,,Dairy milk,10.0,Expense,,10.0,INR,10.0,2022-03-01 22:15:00,-10.0,Food,2022,3,Tuesday,2022-03,expense,10.0
1/3/2022 21:54,CUB - online payment,Other,,From barath,201.0,Income,,201.0,INR,201.0,2022-03-01 21:54:00,201.0,Other,2022,3,Tuesday,2022-03,income,201.0
1/3/2022 21:12,CUB - online payment,Other,,From gpay,5.0,Income,,5.0,INR,5.0,2022-03-01 21:12:00,5.0,Other,2022,3,Tuesday,2022-03,income,5.0
1/3/2022 21:11,CUB - online payment,Other,,From shakur,140.0,Income,,140.0,INR,140.0,2022-03-01 21:11:00,140.0,Other,2022,3,Tuesday,2022-03,income,140.0
1/3/2022 14:31,CUB - online payment,Food,,Lunch unlimited nv,300.0,Expense,,300.0,INR,300.0,2022-03-01 14:31:00,-300.0,Food,2022,3,Tuesday,2022-03,expense,300.0
1/3/2022 14:30,CUB - online payment,Other,,From abi,300.0,Income,,300.0,INR,300.0,2022-03-01 14:30:00,300.0,Other,2022,3,Tuesday,2022-03,income,300.0
1/2/2022 20:33,CUB - online payment,Other,,Tablet to gowdham,8.0,Expense,,8.0,INR,8.0,2022-02-01 20:33:00,-8.0,Other,2022,2,Tuesday,2022-02,expense,8.0
1/2/2022 20:32,CUB - online payment,Food,,Dinner with barath,200.0,Expense,,200.0,INR,200.0,2022-02-01 20:32:00,-200.0,Food,2022,2,Tuesday,2022-02,expense,200.0
1/2/2022 14:16,CUB - online payment,Transportation,,Train to vnr,725.0,Expense,,725.0,INR,725.0,2022-02-01 14:16:00,-725.0,Transportation,2022,2,Tuesday,2022-02,expense,725.0
1/1/2022 21:46,CUB - online payment,Food,,Snacks,85.0,Expense,,85.0,INR,85.0,2022-01-01 21:46:00,-85.0,Food,2022,1,Saturday,2022-01,expense,85.0
1/1/2022 21:45,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0,2022-01-01 21:45:00,1000.0,Allowance,2022,1,Saturday,2022-01,income,1000.0
12/12/2021 21:47,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0,2021-12-12 21:47:00,-25.0,Food,2021,12,Sunday,2021-12,expense,25.0
12/11/2021 9:22,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0,2021-11-12 09:22:00,1000.0,Allowance,2021,11,Friday,2021-11,income,1000.0
12/11/2021 8:20,CUB - online payment,Other,,From stu,240.0,Income,,240.0,INR,240.0,2021-11-12 08:20:00,240.0,Other,2021,11,Friday,2021-11,income,240.0
12/10/2021 21:38,CUB - online payment,Food,,Shopping,241.0,Expense,,241.0,INR,241.0,2021-10-12 21:38:00,-241.0,Food,2021,10,Tuesday,2021-10,expense,241.0
12/10/2021 20:55,CUB - online payment,Food,,Momos,195.0,Expense,,195.0,INR,195.0,2021-10-12 20:55:00,-195.0,Food,2021,10,Tuesday,2021-10,expense,195.0
12/9/2021 20:03,CUB - online payment,Food,,Snack with bharath,40.0,Expense,,40.0,INR,40.0,2021-09-12 20:03:00,-40.0,Food,2021,9,Sunday,2021-09,expense,40.0
12/9/2021 14:01,CUB - online payment,Food,,Lunch with company,280.0,Expense,,280.0,INR,280.0,2021-09-12 14:01:00,-280.0,Food,2021,9,Sunday,2021-09,expense,280.0
12/9/2021 9:56,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0,2021-09-12 09:56:00,-25.0,Food,2021,9,Sunday,2021-09,expense,25.0
12/9/2021 8:47,CUB - online payment,Food,,Breakfast with stu,110.0,Expense,,110.0,INR,110.0,2021-09-12 08:47:00,-110.0,Food,2021,9,Sunday,2021-09,expense,110.0
12/8/2021 14:15,CUB - online payment,Food,,Lunch with stu,100.0,Expense,,100.0,INR,100.0,2021-08-12 14:15:00,-100.0,Food,2021,8,Thursday,2021-08,expense,100.0
12/8/2021 14:15,Cash,Food,,5 star,1120.72,Expense,,15.0,USD,15.0,2021-08-12 14:15:00,-15.0,Food,2021,8,Thursday,2021-08,expense,15.0
12/8/2021 7:17,CUB - online payment,Food,,Milk,10.0,Expense,,10.0,INR,10.0,2021-08-12 07:17:00,-10.0,Food,2021,8,Thursday,2021-08,expense,10.0
12/7/2021 9:54,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0,2021-07-12 09:54:00,-25.0,Food,2021,7,Monday,2021-07,expense,25.0
12/7/2021 7:59,CUB - online payment,Food,,Horlicks,15.0,Expense,,15.0,INR,15.0,2021-07-12 07:59:00,-15.0,Food,2021,7,Monday,2021-07,expense,15.0
12/6/2021 21:59,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0,2021-06-12 21:59:00,-25.0,Food,2021,6,Saturday,2021-06,expense,25.0
12/6/2021 20:07,CUB - online payment,Apparel,,Shoe,500.0,Expense,,500.0,INR,500.0,2021-06-12 20:07:00,-500.0,Apparel,2021,6,Saturday,2021-06,expense,500.0
12/6/2021 19:57,CUB - online payment,Apparel,,Cap,140.0,Expense,,140.0,INR,140.0,2021-06-12 19:57:00,-140.0,Apparel,2021,6,Saturday,2021-06,expense,140.0
12/6/2021 14:08,CUB - online payment,Food,,Lunch with stu,150.0,Expense,,150.0,INR,150.0,2021-06-12 14:08:00,-150.0,Food,2021,6,Saturday,2021-06,expense,150.0
12/5/2021 19:45,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0,2021-05-12 19:45:00,-25.0,Food,2021,5,Wednesday,2021-05,expense,25.0
12/5/2021 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,1800.0,Expense,,1800.0,INR,1800.0,2021-05-12 18:41:00,-1800.0,Apparel,2021,5,Wednesday,2021-05,expense,1800.0
12/5/2021 12:23,CUB - online payment,Household,,Rent,4800.0,Expense,,4800.0,INR,4800.0,2021-05-12 12:23:00,-4800.0,Household,2021,5,Wednesday,2021-05,expense,4800.0
12/5/2021 12:23,CUB - online payment,Allowance,,From dad,8000.0,Income,,8000.0,INR,8000.0,2021-05-12 12:23:00,8000.0,Allowance,2021,5,Wednesday,2021-05,income,8000.0
12/4/2021 21:05,CUB - online payment,Food,,Dinner,324.0,Expense,,324.0,INR,324.0,2021-04-12 21:05:00,-324.0,Food,2021,4,Monday,2021-04,expense,324.0
12/4/2021 20:20,CUB - online payment,Food,,Snack,65.0,Expense,,65.0,INR,65.0,2021-04-12 20:20:00,-65.0,Food,2021,4,Monday,2021-04,expense,65.0
12/4/2021 13:54,CUB - online payment,Other,,For company,30.0,Expense,,30.0,INR,30.0,2021-04-12 13:54:00,-30.0,Other,2021,4,Monday,2021-04,expense,30.0
12/4/2021 10:13,CUB - online payment,Food,,Breakfast,200.0,Expense,,200.0,INR,200.0,2021-04-12 10:13:00,-200.0,Food,2021,4,Monday,2021-04,expense,200.0
12/3/2021 21:59,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0,2021-03-12 21:59:00,-25.0,Food,2021,3,Friday,2021-03,expense,25.0
12/3/2021 21:59,CUB - online payment,Apparel,,Belt,130.0,Expense,,130.0,INR,130.0,2021-03-12 21:59:00,-130.0,Apparel,2021,3,Friday,2021-03,expense,130.0
12/3/2021 21:28,CUB - online payment,Apparel,,Mask,20.0,Expense,,20.0,INR,20.0,2021-03-12 21:28:00,-20.0,Apparel,2021,3,Friday,2021-03,expense,20.0
12/3/2021 21:28,CUB - online payment,Food,,Snack,40.0,Expense,,40.0,INR,40.0,2021-03-12 21:28:00,-40.0,Food,2021,3,Friday,2021-03,expense,40.0
12/3/2021 21:28,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0,2021-03-12 21:28:00,1000.0,Allowance,2021,3,Friday,2021-03,income,1000.0
12/2/2021 20:07,CUB - online payment,Food,,Ice cream,504.0,Expense,,504.0,INR,504.0,2021-02-12 20:07:00,-504.0,Food,2021,2,Friday,2021-02,expense,504.0
12/2/2021 19:48,CUB - online payment,Food,,Vadapaav,75.0,Expense,,75.0,INR,75.0,2021-02-12 19:48:00,-75.0,Food,2021,2,Friday,2021-02,expense,75.0
12/1/2021 19:57,CUB - online payment,Beauty,,Showergel,196.0,Expense,,196.0,INR,196.0,2021-01-12 19:57:00,-196.0,Beauty,2021,1,Tuesday,2021-01,expense,196.0
12/1/2021 14:00,CUB - online payment,Food,,Lunch with company,160.0,Expense,,160.0,INR,160.0,2021-01-12 14:00:00,-160.0,Food,2021,1,Tuesday,2021-01,expense,160.0
